ticket_id,customer_id,created_date,issue_type,priority,channel,status,response_time_minutes,resolution_time_minutes,customer_rating
1,335,2023-09-26 03:00:00,Гарантія,Низький,Email,Відкрито,,,
2,491,2023-05-19 10:00:00,Повернення,Низький,Phone,Закрито,80.0,1398.0,1.0
3,14356,2022-09-09 16:00:00,Питання про товар,Низький,Email,Закрито,168.0,1278.0,2.0
4,8382,2022-05-15 02:00:00,Технічна проблема,Високий,Viber,В обробці,53.0,,
5,7732,2024-09-19 14:00:00,Доставка,Високий,Telegram,Закрито,29.0,700.0,1.0
6,11061,2022-03-05 08:00:00,Гарантія,Низький,Email,Закрито,214.0,63.0,2.0
7,7263,2023-03-14 08:00:00,Оплата,Середній,Phone,Закрито,186.0,314.0,2.0
8,3141,2024-03-13 07:00:00,Оплата,Високий,Viber,Закрито,114.0,522.0,5.0
9,12008,2024-10-15 12:00:00,Питання про товар,Середній,Viber,Закрито,236.0,455.0,4.0
10,9085,2022-03-26 08:00:00,Оплата,Середній,Chat,Закрито,42.0,1299.0,1.0
11,12550,2023-04-27 07:00:00,Інше,Середній,Email,Закрито,213.0,73.0,1.0
12,3928,2023-07-27 18:00:00,Питання про товар,Середній,Telegram,Закрито,201.0,1354.0,5.0
13,3616,2024-10-18 12:00:00,Гарантія,Низький,Phone,Закрито,10.0,998.0,4.0
14,8002,2024-09-07 05:00:00,Оплата,Високий,Phone,Закрито,155.0,1143.0,2.0
15,5705,2023-05-24 02:00:00,Повернення,Середній,Chat,Закрито,169.0,1189.0,2.0
16,8732,2024-10-21 02:00:00,Повернення,Низький,Telegram,Закрито,79.0,108.0,3.0
17,1517,2022-06-04 22:00:00,Технічна проблема,Низький,Viber,Закрито,102.0,183.0,4.0
18,9925,2023-07-10 22:00:00,Інше,Середній,Viber,Закрито,117.0,166.0,1.0
19,7933,2023-09-24 09:00:00,Інше,Низький,Chat,Закрито,209.0,281.0,2.0
20,12115,2022-09-11 16:00:00,Гарантія,Середній,Chat,Закрито,149.0,166.0,2.0
21,3800,2024-06-06 15:00:00,Повернення,Середній,Email,Закрито,74.0,706.0,2.0
22,7902,2024-07-29 21:00:00,Доставка,Середній,Viber,Закрито,87.0,289.0,5.0
23,7138,2022-05-09 11:00:00,Повернення,Низький,Telegram,Відкрито,,,
24,4240,2024-12-06 11:00:00,Технічна проблема,Високий,Email,Очікує відповіді клієнта,222.0,,
25,3991,2023-07-14 09:00:00,Повернення,Середній,Chat,Відкрито,,,
26,11576,2023-04-04 18:00:00,Оплата,Низький,Telegram,В обробці,100.0,,
27,5866,2023-12-29 00:00:00,Повернення,Середній,Telegram,Очікує відповіді клієнта,57.0,,
28,1295,2022-09-29 12:00:00,Питання про товар,Низький,Viber,Закрито,61.0,572.0,3.0
29,6958,2022-09-20 02:00:00,Доставка,Середній,Viber,Закрито,160.0,525.0,3.0
30,10225,2022-07-08 22:00:00,Питання про товар,Середній,Chat,Закрито,73.0,788.0,3.0
31,5518,2022-01-11 06:00:00,Гарантія,Низький,Email,Закрито,97.0,1004.0,4.0
32,1812,2023-08-02 01:00:00,Гарантія,Низький,Viber,Закрито,188.0,902.0,3.0
33,2497,2022-08-26 13:00:00,Доставка,Низький,Viber,Закрито,19.0,628.0,2.0
34,13927,2022-05-09 02:00:00,Доставка,Середній,Email,Закрито,211.0,260.0,2.0
35,7434,2024-01-14 20:00:00,Питання про товар,Низький,Phone,Закрито,33.0,302.0,4.0
36,10894,2024-12-27 20:00:00,Інше,Критичний,Viber,Закрито,40.0,753.0,5.0
37,2875,2022-12-05 21:00:00,Повернення,Середній,Phone,Закрито,199.0,537.0,2.0
38,2837,2022-12-22 17:00:00,Інше,Низький,Telegram,В обробці,190.0,,
39,12252,2024-10-25 05:00:00,Гарантія,Низький,Chat,Закрито,36.0,853.0,4.0
