location_id,location_name,city,region,address,open_date,is_active,staff_count
1,Київ Центр,Київ,Київська,вул. Хрещатик 22,2022-01-01,True,5
2,Київ Позняки,Київ,Київська,просп. Бажана 10,2022-03-15,True,4
3,Львів Площа Ринок,Львів,Львівська,пл. Ринок 1,2022-02-01,True,3
4,Львів Сихів,Львів,Львівська,вул. Наукова 5,2022-06-10,True,3
5,Харків Центр,Харків,Харківська,вул. Сумська 45,2022-01-20,True,4
6,Харків Салтівка,Харків,Харківська,просп. Героїв Харкова 150,2022-08-01,True,3
7,Дніпро Центр,Дніпро,Дніпропетровська,просп. Яворницького 23,2022-02-15,True,4
8,Дніпро Сокол,Дніпро,Дніпропетровська,вул. Титова 1,2022-09-01,True,2
9,Одеса Дерибасівська,Одеса,Одеська,вул. Дерибасівська 15,2022-03-01,True,3
10,Одеса Аркадія,Одеса,Одеська,Французький бульвар 60,2022-07-15,True,2
11,Кривий Ріг,Кривий Ріг,Дніпропетровська,просп. Миру 15,2023-01-10,True,2
12,Біла Церква,Біла Церква,Київська,пл. Соборна 3,2023-05-01,True,2
