supplier_id,supplier_name,country,contact_person,email,phone,rating,is_active
101,TechSupply-101 UAB,США,Contact Person 101,supplier101@tech.com,+49948420300,4.6,True
102,TechSupply-102 Ltd,Чехія,Contact Person 102,supplier102@tech.com,+49127731356,4.2,True
103,TechSupply-103 UAB,Чехія,Contact Person 103,supplier103@tech.com,+86856818678,3.8,True
104,TechSupply-104 Ltd,США,Contact Person 104,supplier104@tech.com,+380491315879,4.2,True
105,TechSupply-105 SA,Україна,Contact Person 105,supplier105@tech.com,+49757154110,4.7,True
106,TechSupply-106 UAB,Китай,Contact Person 106,supplier106@tech.com,+86350814607,4.2,True
107,TechSupply-107 UAB,Україна,Contact Person 107,supplier107@tech.com,+86273137668,4.3,True
108,TechSupply-108 SA,Німеччина,Contact Person 108,supplier108@tech.com,+380494731325,4.3,True
109,TechSupply-109 Inc,Польща,Contact Person 109,supplier109@tech.com,+380174431097,4.5,True
110,TechSupply-110 UAB,Польща,Contact Person 110,supplier110@tech.com,+86200497234,4.9,True
111,TechSupply-111 SA,Німеччина,Contact Person 111,supplier111@tech.com,+86502591975,4.1,True
112,TechSupply-112 Ltd,Китай,Contact Person 112,supplier112@tech.com,+380801392334,4.9,True
113,TechSupply-113 Inc,Україна,Contact Person 113,supplier113@tech.com,+48300945406,4.4,True
114,TechSupply-114 Corp,Китай,Contact Person 114,supplier114@tech.com,+86990372651,3.7,True
115,TechSupply-115 UAB,Німеччина,Contact Person 115,supplier115@tech.com,+86220996588,3.7,False
116,TechSupply-116 Inc,Чехія,Contact Person 116,supplier116@tech.com,+48817351444,4.2,True
117,TechSupply-117 Inc,Німеччина,Contact Person 117,supplier117@tech.com,+48888328296,4.3,True
118,TechSupply-118 GmbH,Чехія,Contact Person 118,supplier118@tech.com,+86545196297,4.5,True
119,TechSupply-119 UAB,США,Contact Person 119,supplier119@tech.com,+380855307852,4.9,True
120,TechSupply-120 GmbH,Чехія,Contact Person 120,supplier120@tech.com,+86753945541,4.1,True
121,TechSupply-121 Ltd,Польща,Contact Person 121,supplier121@tech.com,+380287683559,4.7,True
122,TechSupply-122 Inc,Польща,Contact Person 122,supplier122@tech.com,+49633370585,3.5,True
123,TechSupply-123 GmbH,Німеччина,Contact Person 123,supplier123@tech.com,+380548761455,4.5,True
124,TechSupply-124 GmbH,США,Contact Person 124,supplier124@tech.com,+48900626297,4.7,True
125,TechSupply-125 UAB,Німеччина,Contact Person 125,supplier125@tech.com,+86673412401,3.6,False
126,TechSupply-126 Inc,Чехія,Contact Person 126,supplier126@tech.com,+86372859425,4.3,True
127,TechSupply-127 UAB,США,Contact Person 127,supplier127@tech.com,+86526269890,3.7,True
128,TechSupply-128 UAB,Україна,Contact Person 128,supplier128@tech.com,+86608668937,3.9,True
129,TechSupply-129 Ltd,Китай,Contact Person 129,supplier129@tech.com,+86794524186,4.1,True
130,TechSupply-130 Corp,Польща,Contact Person 130,supplier130@tech.com,+380623069284,4.9,True
